validator_index,pubkey,status,effective_balance_gwei,slashed,activation_epoch,exit_epoch,withdrawal_credentials,attestations_total,att_missed_total,proposals_total,prop_missed_total,inclusion_delay_avg,rewards_sum_gwei,trust_v0
12345,0x80773a007f9e496a196b8f28fae04ddaa72fa65c0f8a98145a1e192082c3edcf7cee891ccf1d6b6fee0abe0045b9f61b,active_online,32000000000,False,0,9223372036854775807,0x010000000000000000000000ddc6ed6e6a9c1e55c87b155b9a40bac4721a6dac,,,,,,,0.0
67890,0x85c12b9cd79c0fd7712db78245d14583c465e7c4cf4045b83ca34b1f148d85a1fe16dd2004f3332e8dc6312793f5db4a,exited,0,False,11751,195058,0x010000000000000000000000210b3cb99fa1de0a64085fa80e18c22fe4722a1b,,,,,,,0.0
424242,0xa9bde35da905118cd4347038dca5b8f640ce0d008e88770a83ab83def2a7b66babd4e66826ba43a9d3fae8ea4c0d4a2c,exited,0,False,145504,382848,0x010000000000000000000000cd6af2ac2fcc1c8a750f9377f203443c19453048,,,,,,,0.0
40000,0xa8cff0debed9d49cb48de3a36feafe41897ab596a1170a5851c857d37f4cc246933ec605cf930f9298b622d14d1b6b60,active_online,32000000000,False,4779,9223372036854775807,0x0078b2fc4b3753a660a8adda1dfc89856bf839e94f447f160c4dd0d22d7c8042,,,,,,,0.0
40001,0xa740cfc14cd1ef504e9e86d6effc7dae856b347e6441cd5707d71d7055ee3e055fb6d01322af3312910e11b8696a51b0,active_online,32000000000,False,4779,9223372036854775807,0x0097c69f5c1d6bcc1f40c581d74c6721a32a9eeba60d0c539edaa4fc8eb4ef6d,,,,,,,0.0
40002,0xacf7c026b079237721f08ff9640478d791f770ebb2ff1745060df4d7eed59cecf8e1c9c4a56642c404a21d9f81d66850,active_online,32000000000,False,4779,9223372036854775807,0x0013f6ae4430bc760b4fa2395d4204cf4584eff3cde695415b2aefc104838d9d,,,,,,,0.0
40003,0x93777d505050f8972ca9b837a45033328c791767eb18eb3411b8b3d5ef6907cdfcb2bbf82405cedfda51ab096c096350,active_online,32000000000,False,4780,9223372036854775807,0x00a37d721af395d1757098d6d6ad2479383a475c3a2e16963e47b43d770f9538,,,,,,,0.0
40004,0x8bc3d5a2d54d9f7ef5f85de0b9b759866ed5264798e80b49a9cb14b88a34e98f6908160d2e1f677b6ecf00d7f5d1fe17,active_online,32000000000,False,4780,9223372036854775807,0x002adb20158a31989987a4c561d98011dd9292e0da173ec981b210940ab3926e,,,,,,,0.0
40005,0x84d97b73dc397308671c8324493b4bd9af10168cb7f3f2c06cabd63c91a6232df0ad3a20b8d3cc4f60433b627fa659e9,active_online,32000000000,False,4780,9223372036854775807,0x00b77672bb3489ce71247e85b89699e5923e1a2262f0bc75e3f610283a6c056e,,,,,,,0.0
40006,0x909e6946105b0850cfc0d24db2e7bb5e97900b2026b8983226fdad277190439ab5a1b654cb441fdd36f86e73d4aa4b62,active_online,32000000000,False,4780,9223372036854775807,0x005a67164f4a5a0195e76784dcc5a1ac1efb862595f6675c64ec4c473c1d2b29,,,,,,,0.0
